,totalHotWater,totalWater,totalTime,minUseWaterTime,maxUseWaterTime,recordNum,mac_set,pdate_set
0,588.95,588.95,13,2021-11-04 22:48:46+00:00,2021-11-04 22:50:04+00:00,1,0007A8DCD0F1,20211105
1,1216.5,1476.8600000000001,19,2021-11-04 23:11:58+00:00,2021-11-04 23:12:19+00:00,2,0007A8DCD0F1,20211105
2,2056.14,2540.2,31,2021-11-04 23:15:06+00:00,2021-11-04 23:16:08+00:00,3,0007A8DCD0F1,20211105
3,630.09,826.22,10,2021-11-04 23:36:15+00:00,2021-11-04 23:36:35+00:00,4,0007A8DCD0F1,20211105
4,235.0,269.19,5,2021-11-04 23:56:30+00:00,2021-11-04 23:56:39+00:00,5,0007A8DCD0F1,20211105
5,239.27999999999997,284.4,9,2021-11-04 23:58:05+00:00,2021-11-04 23:58:46+00:00,6,0007A8DCD0F1,20211105
6,899.4100000000001,1058.49,21,2021-11-05 00:31:28+00:00,2021-11-05 00:32:14+00:00,7,0007A8DCD0F1,20211105
7,928.27,1032.73,29,2021-11-05 03:45:32+00:00,2021-11-05 03:46:11+00:00,8,0007A8DCD0F1,20211105
8,2507.53,2759.3299999999995,48,2021-11-05 08:45:11+00:00,2021-11-05 08:48:20+00:00,9,0007A8DCD0F1,20211105
9,1557.69,1737.6100000000001,23,2021-11-05 08:53:02+00:00,2021-11-05 08:53:58+00:00,10,0007A8DCD0F1,20211105
10,873.9000000000001,1034.99,11,2021-11-05 08:56:01+00:00,2021-11-05 08:56:56+00:00,11,0007A8DCD0F1,20211105
11,504.93,575.2,10,2021-11-05 09:00:32+00:00,2021-11-05 09:01:00+00:00,12,0007A8DCD0F1,20211105
12,4257.27,5586.95,103,2021-11-05 09:11:15+00:00,2021-11-05 09:14:53+00:00,13,0007A8DCD0F1,20211105
13,3728.82,4714.530000000001,47,2021-11-05 11:37:09+00:00,2021-11-05 11:38:34+00:00,14,0007A8DCD0F1,20211105
14,443.47999999999996,585.96,17,2021-11-05 11:40:00+00:00,2021-11-05 11:40:21+00:00,15,0007A8DCD0F1,20211105
15,2815.07,3788.35,44,2021-11-05 12:43:19+00:00,2021-11-05 12:44:11+00:00,16,0007A8DCD0F1,20211105
16,47.79,160.76999999999998,3,2021-11-05 07:40:21+00:00,2021-11-05 07:40:27+00:00,1,0007A8DCF21B,20211105
17,712.4899999999999,1326.6999999999998,32,2021-11-05 07:52:44+00:00,2021-11-05 07:53:28+00:00,2,0007A8DCF21B,20211105
18,192.66,332.15,7,2021-11-04 18:31:05+00:00,2021-11-04 18:31:52+00:00,1,0007A8E39AF7,20211105
19,2004.18,3731.91,36,2021-11-04 22:58:33+00:00,2021-11-04 23:00:15+00:00,2,0007A8E39AF7,20211105
20,500.52,932.0,14,2021-11-04 23:02:23+00:00,2021-11-04 23:02:49+00:00,3,0007A8E39AF7,20211105
21,3019.06,5621.67,49,2021-11-04 23:09:42+00:00,2021-11-04 23:11:30+00:00,4,0007A8E39AF7,20211105
22,248.6,462.89,5,2021-11-04 23:13:18+00:00,2021-11-04 23:13:56+00:00,5,0007A8E39AF7,20211105
23,2942.3399999999997,5478.85,53,2021-11-04 23:16:36+00:00,2021-11-04 23:18:25+00:00,6,0007A8E39AF7,20211105
