,date,open,close,high,low,volume,code
5,1999-01-11,3.946,3.899,3.946,3.869,2061.8,600159
6,1999-01-12,3.896,3.856,3.941,3.856,1602.8,600159
7,1999-01-13,3.844,3.819,3.891,3.782,2364.1,600159
8,1999-01-14,3.794,3.894,3.918,3.794,2694.88,600159
9,1999-01-15,3.894,3.844,3.918,3.842,2937.0,600159
10,1999-01-18,3.819,3.956,3.956,3.797,7001.26,600159
11,1999-01-19,3.956,3.931,4.01,3.913,9141.04,600159
12,1999-01-20,3.926,3.936,3.993,3.918,6400.3,600159
13,1999-01-21,3.946,4.04,4.062,3.946,9982.19,600159
14,1999-01-22,4.067,4.0,4.08,3.98,4637.8,600159
15,1999-01-25,3.993,3.849,4.018,3.846,4975.0,600159
16,1999-01-26,3.849,3.881,3.918,3.804,2816.21,600159
17,1999-01-27,3.859,3.849,3.908,3.802,1656.4,600159
18,1999-01-28,3.854,3.787,3.886,3.777,2455.04,600159
19,1999-01-29,3.782,3.737,3.817,3.718,4209.3,600159
20,1999-02-01,3.695,3.497,3.757,3.479,6438.0,600159
21,1999-02-02,3.474,3.452,3.522,3.36,9242.8,600159
22,1999-02-03,3.47,3.447,3.566,3.445,3654.0,600159
23,1999-02-04,3.442,3.417,3.472,3.37,1205.08,600159
24,1999-02-05,3.437,3.331,3.437,3.323,2318.07,600159
25,1999-02-08,3.321,3.226,3.383,3.224,3039.0,600159
26,1999-02-09,3.244,3.286,3.323,3.239,2334.4,600159
27,1999-03-01,3.316,3.241,3.341,2.976,1226.68,600159
28,1999-03-02,3.222,3.142,3.236,3.14,1955.0,600159
29,1999-03-03,3.145,3.249,3.286,3.145,2251.6,600159
30,1999-03-04,3.274,3.261,3.318,3.251,2042.09,600159
31,1999-03-05,3.274,3.269,3.303,3.224,1919.8,600159
32,1999-03-08,3.271,3.358,3.358,3.271,1930.0,600159
33,1999-03-09,3.373,3.385,3.484,3.373,3217.0,600159
34,1999-03-10,3.36,3.422,3.435,3.301,2393.76,600159
35,1999-03-11,3.422,3.398,3.467,3.355,1592.0,600159
36,1999-03-12,3.412,3.341,3.412,3.323,2383.5,600159
37,1999-03-15,3.348,3.363,3.398,3.306,2879.57,600159
38,1999-03-16,3.353,3.343,3.353,3.316,1284.8,600159
39,1999-03-17,3.348,3.298,3.393,3.298,1757.5,600159
40,1999-03-18,3.274,3.239,3.298,3.231,2128.0,600159
41,1999-03-19,3.224,3.368,3.383,3.217,2624.2,600159
42,1999-03-22,3.375,3.343,3.385,3.326,1875.1,600159
43,1999-03-23,3.348,3.343,3.38,3.274,1655.5,600159
44,1999-03-24,3.346,3.398,3.41,3.301,3755.11,600159
45,1999-03-25,3.398,3.303,3.403,3.298,1970.52,600159
46,1999-03-26,3.336,3.348,3.373,3.298,1529.09,600159
47,1999-03-29,3.313,3.346,3.36,3.286,1194.5,600159
48,1999-03-30,3.36,3.341,3.373,3.318,1938.6,600159
49,1999-03-31,3.323,3.239,3.323,3.219,2677.6,600159
50,1999-04-01,3.229,3.105,3.246,3.093,7515.84,600159
51,1999-04-02,3.098,3.174,3.174,3.088,3125.67,600159
52,1999-04-05,3.169,3.16,3.174,3.137,2974.3,600159
